timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
2023-02-03 11:46:13,29520.00,30624.00,29040.00,28688.00,28928.00
2023-02-03 11:46:20,29552.00,30592.00,29056.00,28816.00,28960.00
2023-02-03 11:46:27,29520.00,30576.00,29040.00,28768.00,28912.00
2023-02-03 11:46:35,29536.00,30544.00,29040.00,28736.00,28912.00
2023-02-03 11:46:42,29488.00,30592.00,28960.00,28816.00,28912.00
2023-02-03 11:46:49,29424.00,30528.00,29040.00,28848.00,28896.00
2023-02-03 11:46:57,29568.00,30496.00,29056.00,28736.00,28928.00
2023-02-03 11:47:04,30016.00,48368.00,29696.00,50896.00,29344.00
2023-02-03 11:47:11,50256.00,50000.00,31488.00,50832.00,49952.00
2023-02-03 11:47:19,50832.00,49920.00,51024.00,50720.00,49792.00
2023-02-03 11:47:26,50496.00,50160.00,50928.00,51008.00,49840.00
2023-02-03 11:47:33,50896.00,49952.00,51008.00,51056.00,49840.00
2023-02-03 11:47:41,50672.00,50016.00,50976.00,50976.00,49920.00
2023-02-03 11:47:48,50720.00,50080.00,51024.00,51040.00,49888.00
2023-02-03 11:47:55,50736.00,50080.00,50976.00,50992.00,49856.00
2023-02-03 11:48:02,50720.00,50000.00,50896.00,50944.00,49872.00
2023-02-03 11:48:10,50816.00,50064.00,51168.00,50960.00,49792.00
2023-02-03 11:48:17,50752.00,50080.00,50800.00,51024.00,49840.00
2023-02-03 11:48:24,50784.00,50048.00,50912.00,50976.00,49792.00
2023-02-03 11:48:32,50704.00,50048.00,51104.00,50912.00,49808.00
2023-02-03 11:48:39,50704.00,50080.00,50848.00,50944.00,49776.00
2023-02-03 11:48:46,50832.00,50064.00,50960.00,51024.00,49920.00
2023-02-03 11:48:54,50704.00,49920.00,50928.00,51120.00,49984.00
2023-02-03 11:49:01,50704.00,50000.00,50976.00,51008.00,49888.00
2023-02-03 11:49:08,50672.00,50048.00,50880.00,50944.00,49760.00
2023-02-03 11:49:16,50528.00,50048.00,50960.00,50976.00,49856.00
2023-02-03 11:49:23,50752.00,50064.00,50864.00,50992.00,49792.00
2023-02-03 11:49:30,50976.00,50064.00,50944.00,50928.00,49840.00
2023-02-03 11:49:38,50688.00,50112.00,50928.00,50992.00,49888.00
2023-02-03 11:49:45,50592.00,50048.00,50880.00,51008.00,49872.00
2023-02-03 11:49:52,50640.00,50000.00,50960.00,50992.00,49856.00
2023-02-03 11:50:00,50640.00,50080.00,50960.00,50960.00,49952.00
2023-02-03 11:50:07,50656.00,50080.00,50992.00,51008.00,49888.00
2023-02-03 11:50:14,50816.00,50096.00,50928.00,50992.00,49904.00
2023-02-03 11:50:22,50096.00,50064.00,50912.00,51008.00,49856.00
2023-02-03 11:50:29,50752.00,50016.00,50960.00,51072.00,49856.00
2023-02-03 11:50:36,50720.00,50016.00,50992.00,50992.00,49824.00
